epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
54,19969,0.26801,0.35217,0.06761,0.89791,0.8637,0.91051,0.65017,0.24463,0.33919,0.07865,0.000679204,0.000679204,0.000679204
55,20330.6,0.26856,0.35125,0.06649,0.91864,0.85763,0.91336,0.65705,0.24191,0.33247,0.07839,0.000665057,0.000665057,0.000665057
56,20692.6,0.26417,0.34721,0.06725,0.90853,0.86401,0.91183,0.656,0.24473,0.33787,0.07937,0.000650909,0.000650909,0.000650909
57,21054.3,0.26636,0.34985,0.06601,0.90674,0.86223,0.91363,0.65212,0.24347,0.33261,0.07878,0.000636762,0.000636762,0.000636762
58,21416.1,0.26419,0.34847,0.0658,0.91321,0.86295,0.91619,0.65849,0.24097,0.33413,0.07817,0.000622615,0.000622615,0.000622615
59,21777.5,0.25851,0.34172,0.0642,0.91472,0.86729,0.91827,0.66062,0.24279,0.33287,0.07795,0.000608468,0.000608468,0.000608468
60,22139.5,0.25487,0.33852,0.06385,0.91841,0.85978,0.91214,0.65693,0.24079,0.32928,0.07766,0.000594321,0.000594321,0.000594321
61,22501.2,0.2583,0.34304,0.06377,0.90857,0.86924,0.9168,0.6617,0.24104,0.33125,0.07785,0.000580174,0.000580174,0.000580174
62,22863,0.26052,0.34423,0.06447,0.9112,0.86759,0.91792,0.66671,0.2397,0.33022,0.07743,0.000566027,0.000566027,0.000566027
63,23221,0.25848,0.34153,0.06456,0.9037,0.87173,0.91726,0.66177,0.24089,0.33138,0.07691,0.00055188,0.00055188,0.00055188
64,23578.1,0.25576,0.33778,0.06358,0.91053,0.86585,0.91752,0.66901,0.23736,0.32652,0.07719,0.000537733,0.000537733,0.000537733
65,23935.1,0.24978,0.33236,0.0615,0.92125,0.86613,0.9211,0.66544,0.23924,0.32886,0.07619,0.000523586,0.000523586,0.000523586
66,24292.1,0.24908,0.33395,0.06088,0.91365,0.87422,0.92259,0.67375,0.23608,0.3268,0.07639,0.000509438,0.000509438,0.000509438
